Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
jitwatch,org.adoptopenjdk.jitwatch.core,JITWatchConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG_LOGGING; DEBUG_LOGGING_BYTECODE; DEBUG_LOGGING_CLASSPATH; DEBUG_LOGGING_ASSEMBLY; DEBUG_LOGGING_SIG_MATCH; DEBUG_LOGGING_METHOD_ID_MATCH; DEBUG_LOGGING_OVC; DEBUG_LOGGING_PARSE_DICTIONARY; DEBUG_LOGGING_TRIVIEW; DEBUG_LOGGING_TAGPROCESSOR; HEADLESS_SEPARATOR; DEBUG_MEMBER_CREATION; DEFAULT_FREQ_INLINE_SIZE; DEFAULT_MAX_INLINE_SIZE; DEFAULT_COMPILER_THRESHOLD; TAG_XML; TAG_TTY; TAG_TTY_CLOSE; TAG_COMPILATION_LOG; TAG_COMPILATION_LOG_CLOSE; TAG_HOTSPOT_LOG; TAG_HOTSPOT_LOG_CLOSE; S_FRAGMENT; TAG_OPEN_FRAGMENT; TAG_CLOSE_FRAGMENT; TAG_OPEN_CDATA; TAG_CLOSE_CDATA; TAG_OPEN_CLOSE_CDATA; SKIP_HEADER_TAGS; SKIP_BODY_TAGS; NATIVE_CODE_START; NATIVE_CODE_ENTRY_POINT; NATIVE_CODE_METHOD_MARK; LOADED; METHOD; S_PARSE; S_TYPE; S_PARSE_HIR; S_CODE_COLON; S_ASSEMBLY_CONSTANTS; DEFAULT_PACKAGE_NAME; TREE_PACKAGE_ROOT; TAG_VM_VERSION; TAG_RELEASE; TAG_SWEEPER; TAG_CODE_CACHE_FULL; TAG_HOTSPOT_LOG_DONE; TAG_TASK_QUEUED; TAG_NMETHOD; TAG_PRINT_NMETHOD; TAG_TASK; TAG_BC; TAG_CALL; TAG_CODE_CACHE; TAG_TASK_DONE; TAG_START_COMPILE_THREAD; TAG_PARSE; TAG_PHASE; TAG_KLASS; TAG_TYPE; TAG_METHOD; TAG_INTRINSIC; TAG_INLINE_FAIL; TAG_INLINE_SUCCESS; TAG_BRANCH; TAG_WRITER; TAG_VM_ARGUMENTS; TAG_ELIMINATE_ALLOCATION; TAG_ELIMINATE_LOCK; TAG_JVMS; TAG_UNCOMMON_TRAP; TAG_PARSE_DONE; TAG_PHASE_DONE; TAG_HOT_THROW; TAG_CAST_UP; TAG_INLINE_LEVEL_DISCOUNT; TAG_COMMENT; TAG_PREDICTED_CALL; TAG_DIRECT_CALL; TAG_VIRTUAL_CALL; TAG_DEPENDENCY; TAG_OBSERVE; TAG_ASSERT_NULL; TAG_FAILURE; TAG_LATE_INLINE; TAG_COMMAND; OSR; C2N; C1; C2; J9; ZING; FALCON; JVMCI; ATTR_METHOD; ATTR_KLASS; ATTR_THREAD; ATTR_COMPILE_ID; ATTR_COMPILE_KIND; ATTR_STAMP; ATTR_STAMP_COMPLETED; ATTR_NAME; ATTR_BCI; ATTR_OSR_BCI; ATTR_CODE; ATTR_COMPILER; ATTR_LEVEL; ATTR_FREE_CODE_CACHE; ATTR_SIZE; ATTR_NMSIZE; ATTR_BYTES; ATTR_IICOUNT; ATTR_DECOMPILES; ATTR_PARSE; ATTR_TYPE; ATTR_BUILDIR; ATTR_ID; ATTR_HOLDER; ATTR_RETURN; ATTR_REASON; ATTR_ARGUMENTS; ATTR_BRANCH_COUNT; ATTR_BRANCH_TAKEN; ATTR_BRANCH_NOT_TAKEN; ATTR_BRANCH_PROB; ATTR_UNLOADED; ATTR_COUNT; ATTR_PROF_FACTOR; ATTR_ACTION; ATTR_COMMENT; ATTR_ADDRESS; ATTR_ENTRY; ATTR_PREALLOCATED; ATTR_KIND; ATTR_TIME_MS; BRANCH_TAKEN_ALWAYS; BRANCH_TAKEN_NEVER; BRANCH_TAKEN_MIN; BRANCH_TAKEN_MAX; S_ENTITY_APOS; S_ENTITY_LT; S_ENTITY_GT; S_PACKAGE; S_CLASS; S_PROFILE_DEFAULT; S_PROFILE_SANDBOX; S_CLASS_PREFIX_INVOKE; S_CLASS_PREFIX_COM_SUN_PROXY; S_CLASS_PREFIX_STREAM_COLLECTORS; S_CLASS_PREFIX_SUN_REFLECT_GENERATED; SET_AUTOGENERATED_PREFIXES; S_CLASS_AUTOGENERATED_LAMBDA; REGEX_GROUP_ANY; REGEX_ZERO_OR_MORE_SPACES; REGEX_ONE_OR_MORE_SPACES; REGEX_UNICODE_PARAM_NAME; REGEX_UNICODE_PACKAGE_NAME; S_OPEN_PARENTHESES; S_CLOSE_PARENTHESES; S_ESCAPED_OPEN_PARENTHESES; S_ESCAPED_CLOSE_PARENTHESES; S_OPEN_ANGLE; S_CLOSE_ANGLE; S_OPEN_SQUARE_BRACKET; S_CLOSE_SQUARE_BRACKET; S_ARRAY_BRACKET_PAIR; S_ESCAPED_OPEN_SQUARE; S_ESCAPED_CLOSE_SQUARE; S_ESCAPED_DOT; S_OPEN_BRACE; S_CLOSE_BRACE; S_AT; S_PERCENT; S_DOLLAR; S_HASH; S_SPACE; S_NEWLINE; S_NEWLINE_CR; S_TAB; S_DOUBLE_SPACE; S_EMPTY; S_COLON; S_SEMICOLON; S_VARARGS_DOTS; S_APOSTROPHE; S_OBJECT_ARRAY_DEF; S_DOT; S_ASTERISK; S_COMMA; S_HYPEN; S_SLASH; S_DOUBLE_SLASH; S_QUOTE; S_DOUBLE_QUOTE; S_REGEX_WHITESPACE; S_BACKSLASH; S_XML_COMMENT_START; S_XML_COMMENT_END; S_XML_DOC_START; S_XML_DOCTYPE_START; S_BYTECODE_METHOD_COMMENT; S_BYTECODE_INTERFACEMETHOD_COMMENT; S_BYTECODE_INVOKEDYNAMIC_COMMENT; S_DEFAULT; S_FILE_COLON; S_DOT_CLASS; S_GENERICS_WILDCARD; S_OPTIMIZER; S_SAFEPOINT_POLL; S_SAFEPOINT_POLL_RETURN; S_REASON_STALE_TASK; S_TYPE_NAME_SHORT; S_TYPE_NAME_CHARACTER; S_TYPE_NAME_BYTE; S_TYPE_NAME_LONG; S_TYPE_NAME_DOUBLE; S_TYPE_NAME_BOOLEAN; S_TYPE_NAME_INTEGER; S_TYPE_NAME_FLOAT; S_TYPE_NAME_VOID; S_OPTIMIZED_VIRTUAL_CALL; C_SLASH; C_OPEN_ANGLE; C_CLOSE_ANGLE; C_OPEN_PARENTHESES; C_CLOSE_PARENTHESES; C_OPEN_BRACE; C_CLOSE_BRACE; C_SPACE; C_HASH; C_COMMA; C_AT; C_COLON; C_EQUALS; C_QUOTE; C_DOUBLE_QUOTE; C_NEWLINE; C_DOT; C_OBJECT_REF; C_SEMICOLON; C_OPEN_SQUARE_BRACKET; C_CLOSE_SQUARE_BRACKET; C_QUESTION; C_BACKSLASH; C_HAT; C_DOLLAR; S_HEX_PREFIX; S_HEX_POSTFIX; S_BYTECODE_MINOR_VERSION; S_BYTECODE_MAJOR_VERSION; S_BYTECODE_CLASSFILE; S_BYTECODE_SIGNATURE; S_BYTECODE_SOURCE_FILE; S_POLYMORPHIC_SIGNATURE; S_BYTECODE_CONSTANT_POOL; S_BYTECODE_CODE; S_BYTECODE_EXCEPTION_TABLE; S_BYTECODE_RUNTIMEVISIBLEANNOTATIONS; S_BYTECODE_LINENUMBERTABLE; S_BYTECODE_LOCALVARIABLETABLE; S_BYTECODE_STACKMAPTABLE; S_BYTECODE_INNERCLASSES; S_CONSTRUCTOR_INIT; S_STATIC_INIT; S_BYTECODE_STATIC_INITIALISER_SIGNATURE; PUBLIC; PRIVATE; PROTECTED; STATIC; FINAL; SYNCHRONIZED; STRICTFP; NATIVE; ABSTRACT; MODIFIERS; PATTERN_LOG_SIGNATURE; VM_LANGUAGE_JAVA; VM_LANGUAGE_SCALA; VM_LANGUAGE_JRUBY; VM_LANGUAGE_GROOVY; VM_LANGUAGE_KOTLIN; VM_LANGUAGE_JAVASCRIPT; VM_LANGUAGE_CLOJURE
jitwatch,org.adoptopenjdk.jitwatch.demo,MakeHotSpotLog,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 39 methods
jitwatch,org.adoptopenjdk.jitwatch.histo,AttributeNameHistoWalker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.histo,AttributeNameHistoWalker,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractHistoVisitable
jitwatch,org.adoptopenjdk.jitwatch.histo,CompileTimeHistoWalker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.histo,CompileTimeHistoWalker,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractHistoVisitable
jitwatch,org.adoptopenjdk.jitwatch.histo,InlineSizeHistoVisitable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.histo,NativeSizeHistoWalker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
jitwatch,org.adoptopenjdk.jitwatch.histo,NativeSizeHistoWalker,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractHistoVisitable
jitwatch,org.adoptopenjdk.jitwatch.inline,HeadlessInlineVisitor.InlineJournalVisitor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: failures; model; callerName
